id,tahun,source,jenis_bansos,question,answer,length
475,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,RST,Bagaimana cara pendampingan dalam Program RST untuk memastikan penerima bantuan dapat memanfaatkannya secara optimal?,"Pendampingan RST bertujuan agar penerima bantuan dapat memanfaatkan program secara optimal dan mencapai kemandirian sosial dan ekonomi. Pendampingan terintegrasi dengan program pena, atensi, dan bantuan sosial lain. Pendampingan melibatkan pendamping perlindungan dan jaminan sosial serta unit kerja eselon i pemberi bantuan usaha.",448
476,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa tujuan utama dari proses graduasi dalam Program PENA dan bagaimana model pelaksanaannya?,"Graduasi bertujuan agar KPM pena mandiri dan sejahtera. Tujuannya percepat pengentasan kemiskinan, pastikan bantuan tepat sasaran, kurangi kesenjangan sosial, wujudkan keadilan sosial. Model graduasi KPM PKH yang siap diberhentikan mendapat bantuan usaha, pelatihan, atau pendampingan, KPM pena yang mampu secara ekonomi diusulkan berhenti menerima bantuan.",449
477,2021,Peraturan Menteri Sosial Republik Indonesia Nomor 3 Tahun 2021,DTKS,"Bagaimana prosedur persetujuan penggunaan DTKS oleh Kementerian lembaga, pemerintah daerah, dan masyarakat?","Jika permohonan penggunaan DTKS disetujui, menteri menugaskan kepala satuan kerja pengelola data menyiapkan data sesuai permohonan. Data diserahkan dengan berita acara serah terima yang ditandatangani pejabat pimpinan tinggi madya. Kepala satuan kerja menyampaikan berita acara dan data elektronik kepada pemohon serta memantau penggunaan DTKS.",451
478,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Apa tujuan utama dari Bantuan ATENSI Anak Yatim Piatu?,Tujuan bantuan atensi anak yatim piatu adalah mendukung kebutuhan hidup layak agar anak tumbuh optimal. Memperkuat tanggung jawab keluarga dalam memenuhi hak anak. Menyediakan perawatan alternatif bagi anak tanpa keluarga yang mampu. Meningkatkan akses anak ke layanan dasar. Mendukung pemulihan anak melalui terapi sesuai asesmen. Membantu anak mandiri dan produktif lewat pelatihan keterampilan.,451
479,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,RST,"Siapa yang melakukan verifikasi dan seleksi calon penerima bantuan, serta bagaimana proses penetapannya?","Setelah proposal diterima, dirjen perlindungan dan jaminan sosial berkoordinasi dengan unit kerja eselon i untuk verifikasi, validasi, dan seleksi calon penerima. Jika verifikasi langsung terkendala, dinas sosial kabupaten kota membuat surat pernyataan tanggung jawab mutlak. Kuasa pengguna anggaran menetapkan lokasi dan daftar penerima yang layak.",453
480,2023,Peraturan Menteri Sosial Republik Indonesia Nomor 4 Tahun 2023,BPNT,Apa tahapan dalam proses registrasi atau pembukaan rekening bagi KPM Program Sembako?,Proses registrasi atau pembukaan rekening KPM program sembako terdiri atas beberapa tahap sebagai berikut pembukaan rekening oleh bank penyalur berdasarkan data yang diserahkan oleh direktorat yang menangani program sembako. Penerbitan atau pencetakan KKS oleh bank penyalur. Distribusi KKS kepada KPM program sembako. Dan aktivasi KKS dengan berita acara serah terima.,454
481,2025,,DTKS,Apa yang dapat menyebabkan bantuan sosial dihapuskan dari penerima?,"Masyarakat yang sudah mampu, orang yang terkonfirmasi meninggal, orang yang berpenghasilan rutin dari APBN atau APBD, pelanggan dengan kapasitas daya listrik minimal 2200 VA, guru tersertifikasi, pemilik atau pengurus perusahaan, tenaga kesehatan, masyarakat dengan gaji di atas UMK atau UMP, ASN, TNI, Polri, ataupun keluarga dari ASN, TNI, Polri tidak layak mendapatkan bantuan sosial.",454
482,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa tugas utama pendamping sosial dalam mendukung pelaksanaan Program PENA?,Tugas pendamping sosial melakukan asesmen calon KPM pena. Mendampingi calon KPM menyusun dan revisi proposal usaha dan anggaran. Mendampingi pencairan bantuan usaha. Mendampingi pembelanjaan bantuan sesuai proposal. Mendampingi penyusunan laporan pertanggungjawaban bantuan. Membantu pemantauan dan evaluasi program. Mendampingi pelatihan dan pendampingan keberlanjutan usaha KPM.,455
483,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Kapan waktu penyampaian dan pengunggahan usulan penerima bantuan sosial dan DTKS?,Penyampaian usulan dilakukan setiap bulan dengan ketentuan pengesahan usulan penerima iuran jaminan kesehatan dari DTKS mulai minggu pertama sampai tanggal 11. Penyampaian usulan penerima bantuan sosial dan DTKS mulai tanggal 15 sampai 5 bulan setelah acara. Pengunggahan dokumen pengesahan usulan penerima bantuan sosial dan DTKS mulai tanggal 15 sampai 1 bulan setelah acara.,458
484,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Apakah peserta yang dihapus dari program PBI Jaminan Kesehatan tetap dapat menerima layanan?,"Peserta yang dihapus tetap dapat menerima layanan jika masih memenuhi kriteria penerima layanan kesehatan. Peserta harus melapor ke dinas sosial kabupaten kota untuk mendapatkan surat keterangan. Surat ini diserahkan ke kantor cabang BPJS Kesehatan setempat. Kantor cabang melaporkan ke kantor pusat, yang meneruskan ke kementerian kesehatan dan Kemensos melalui SIKSNG.",462
485,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Kenapa saat mengusulkan bantuan sosial PBI harus masuk ke dalam daftar tunggu terlebih dahulu?,"Daftar tunggu PBI adalah situasi di mana seseorang yang layak untuk menjadi peserta, namun tidak bisa langsung terdaftar karena kuota peserta PBI yang tersedia secara nasional sudah terpenuhi. Ketika kuota sudah penuh, calon peserta baru akan dimasukkan ke dalam daftar tunggu, dan baru bisa aktif setelah ada penyesuaian kuota atau ada peserta yang statusnya dihapus.",462
486,2021,Peraturan Menteri Sosial Republik Indonesia Nomor 3 Tahun 2021,DTKS,Kapan unit kerja eselon I di Kemensos dapat dikecualikan dari penggunaan DTKS dalam program Penyelenggaraan Kesejahteraan Sosial?,"Unit kerja eselon i harus menggunakan DTKS dalam program penyelenggaraan kesejahteraan sosial. Pengecualian berlaku saat kedaruratan bencana, ketika pemerlu pelayanan kesejahteraan sosial tidak tertangani, atau kondisi yang mengancam keselamatan. Jika dikecualikan, unit kerja harus melaporkan data penerima untuk diusulkan masuk DTKS.",464
487,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa tugas pelaksana PKH di tingkat pusat dalam menjalankan program PKH?,"Tugas pelaksana PKH di tingkat pusat meliputi penetapan kebijakan dan sasaran PKH, validasi peserta, terminasi kepesertaan, pengelolaan bantuan sosial, penyediaan sumber daya, memastikan pelaksanaan PKH sesuai rencana, menyelesaikan permasalahan program, membangun jejaring dengan berbagai pihak, serta menyusun laporan pelaksanaan PKH kepada direktur jenderal perlindungan dan jaminan sosial.",464
488,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Siapa pihak yang terlibat dalam pelaksanaan Program PENA?,"Pelaksanaan program pena melibatkan berbagai pihak yang terdiri dari Kemensos diantaranya direktorat jenderal pemberdayaan sosial, direktorat jenderal perlindungan dan jaminan sosial, direktorat jenderal rehabilitasi sosial, pusat data dan informasi kesejahteraan sosial, pusat pendidikan, pelatihan, dan pengembangan profesi. Pemerintah daerah. Pendamping sosial. Dan mitra pemerintah serta non pemerintah.",464
489,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa tugas dan tanggung jawab Direktorat Jenderal Perlindungan dan Jaminan Sosial dalam Program PENA?,Direktorat jaminan sosial memberikan data KPM penerima RST dan PKH potensial sebagai calon penerima pena serta memonitor dan evaluasi usaha mereka. Sekretariat direktorat jenderal perlindungan dan jaminan sosial mendukung pelaksanaan program dan menyampaikan data KPM yang akan digraduasi ke direktorat pemberdayaan komunitas adat terpencil dan kewirausahaan sosial.,466
490,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa tanggung jawab Pokmas sebagai pelaksana utama program Bantuan Permakanan bagi Lansia?,"Pokmas bertanggung jawab melaksanakan norma dan standar program, membuat surat kesanggupan, menetapkan pengelola, membuat nota kesepahaman dengan PPK, mengusulkan dan menetapkan petugas pengiriman permakanan, menyusun laporan bulanan penggunaan dana, mengusulkan perubahan KPM, menyiapkan dan mengantar permakanan sesuai standar gizi, serta mengembalikan sisa dana ke kas negara.",468
491,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Bagaimana cara penggantian pengurus dalam DTKS?,"Penggantian pengurus dilakukan apabila pengurus yang ada telah meninggal, pindah atau berganti KK, atau alasan lain yang dianggap perlu, selama pengurus masih memiliki anggota keluarga dalam 1 KK. Penggantian pengurus dapat dilakukan oleh pemerintah daerah melalui akun petugas kabupaten kota yang memiliki hak akses. Jika diperlukan, penggantian pengurus dapat dilakukan oleh Kemensos melalui SIKSNG atau pengolahan data.",469
492,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Bagaimana cara penyaluran dana PKH bagi KPM yang meninggal dunia atau menjadi tenaga kerja Indonesia TKI?,"Dana PKH tetap diberikan jika KPM meninggal atau menjadi tki sebelum aktivasi KKS. Bank menyalurkan dana ke ahli waris atau wali. Ahli waris melengkapi surat keterangan dari kecamatan, dinas sosial, dan dinas tenaga kerja. Setelah dana pertama disalurkan, rekening penerima ditutup dan digantikan oleh ahli waris. Penggantian penerima sesuai prosedur penetapan PKH.",470
493,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa peran dan tugas Camat atau Kepala Distrik dalam pengawasan dan pengesahan Kelompok Masyarakat atau Pokmas dalam program Bantuan Permakanan bagi Penyandang Disabilitas?,"Camat atau kepala distrik mengawasi dan mengesahkan pokmas di kecamatan. Tugasnya melaksanakan norma dan standar program, sosialisasi di wilayahnya, membentuk dan mengesahkan pokmas, mengusulkan data penggantian penerima, verifikasi berkala penerima, pengawasan dan evaluasi bersama instansi terkait.",471
494,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Apa tanggung jawab yang harus dijalankan oleh fakir miskin?,"Fakir miskin bertanggung jawab untuk menjaga diri dan keluarganya dari perbuatan yang dapat merusak kesehatan, kehidupan sosial, dan ekonominya. Meningkatkan kepedulian dan ketahanan sosial dalam bermasyarakat. Memberdayakan dirinya agar mandiri dan meningkatkan taraf kesejahteraan serta berpartisipasi dalam upaya penanganan kemiskinan. berusaha dan bekerja sesuai dengan kemampuan bagi yang mempunyai potensi.",471
495,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 30/4/HK.01/2/2024,PERMAKANAN,Bagaimana cara pemantauan dan evaluasi program Bantuan Permakanan ODHIV dengan metode sistem dilakukan?,"Pemantauan dilakukan melalui aplikasi SIKSMA yang dikelola direktorat rehabilitasi sosial penyandang disabilitas. Pemantauan meliputi dokumen persyaratan awal pokmas, data KPM, dan laporan pertanggungjawaban bulanan. Laporan harus memuat foto pengantaran makanan, dokumentasi menu, data penerima, bast, laporan penggantian penerima jika ada, dan laporan kas transparan.",472
496,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Apa kewajiban wali KPM dalam pemanfaatan Bantuan ATENSI Anak Yatim Piatu?,"Wali bertanggung jawab atas penerimaan dan pemanfaatan bantuan untuk anak yatim piatu. Tugasnya memastikan anak mendapat buku rekening dan kartu atensi dari bank penyalur. Menggunakan bantuan sesuai kebutuhan anak, terutama pendidikan, kesehatan, dan kebutuhan dasar. Melaporkan ke dinas sosial jika ada perubahan status anak, seperti meninggal, pindah domisili, usia 18 tahun, atau menolak bantuan.",472
497,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,RST,Apa peran Lurah atau Kepala Desa dalam mendukung pelaksanaan Program RST?,Lurah atau kepala desa mengkoordinasikan pelaksanaan program RST di wilayahnya. Mereka mengusulkan calon penerima bantuan yang sudah diverifikasi dan divalidasi. Mereka mensosialisasikan program kepada masyarakat dan calon penerima. Mereka menyiapkan tim pemantauan dan pengawasan bersama penerima bantuan. Mereka melakukan pemantauan dan evaluasi pelaksanaan program RST di tingkat desa atau kelurahan.,476
498,2023,Peraturan Menteri Sosial Republik Indonesia Nomor 7 Tahun 2023,PENA,"Apa aspek yang dievaluasi dalam pemantauan dan evaluasi Program PENA, dan siapa yang bertanggung jawab dalam pelaksanaannya?","Pemantauan dan evaluasi dilaksanakan untuk mengukur keberlanjutan peningkatan kesejahteraan KPM, mengukur efektivitas program pena dan merumuskan tindakan korektif terhadap pelaksanaan program pena. Pemantauan dan evaluasi dilakukan oleh direktorat jenderal yang membidangi pemberdayaan sosial, rehabilitasi sosial, atau perlindungan dan jaminan sosial.",477
499,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,DTKS,Bagaimana evaluasi terhadap pelaksanaan program Bantuan Sosial dilakukan?,"Evaluasi dilakukan setiap enam bulan atau sesuai kebutuhan oleh pemerintah, Kemensos, apip, dinas sosial provinsi atau kabupaten kota, dan pihak independen. Evaluasi mengukur keberhasilan atau kegagalan program, termasuk sembako dan PKH, serta memberikan perbaikan jika perlu. Hasil evaluasi digunakan untuk perencanaan, kebijakan, dan peningkatan efektivitas program, lalu disampaikan ke menteri sosial.",477
500,2025,,DTKS,Apa yang harus dilakukan jika dinyatakan memiliki atau mengurus perusahaan padahal sebenarnya tidak?,"Jika seseorang dinyatakan sebagai pemilik atau pengurus perusahaan padahal sebenarnya tidak, maka harus melakukan pengecekan dan perbaikan data di dirjen AHU kementerian hukum dan ham. Hal ini karena Kemensos hanya melakukan pemadanan data ke dirjen ahu. Setelah data di AHU diperbarui, status kepemilikan perusahaan tidak lagi tercatat dan data bantuan sosial bisa disesuaikan.",478
501,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Bagaimana cara pengaduan Bantuan ATENSI Anak Yatim Piatu dan melalui saluran apa pengaduan disampaikan?,"Individu, kelompok, atau lembaga dapat mengajukan pengaduan terkait bantuan atensi anak yatim piatu. Pengaduan meliputi keluhan penyimpangan, ketidaktepatan sasaran, atau masalah penyaluran. Pengaduan disampaikan melalui pusat kendali Kemensos, sistem lapor, dinas sosial provinsi, dinas sosial kabupaten kota. Setiap pengaduan ditindaklanjuti secara transparan dan akuntabel.",479
502,2024,Keputusan Dirjen Perlindungan dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,DTKS,Bagaimana masyarakat dapat menyampaikan pengaduan terkait pelaksanaan program bantuan sosial?,"Pengaduan PKH dapat disampaikan melalui pusat kendali kemensos 171, sp4n lapor, dinas sosial provinsi atau kabupaten kota, whistleblower system kpk, serta bank atau pos penyalur. Aduan dalam kewenangan kemensos ditindaklanjuti dengan penelusuran. Jika ada indikasi penyimpangan, akan diaudit apip atau dilimpahkan ke aparat penegak hukum. Aduan di luar kewenangan dijawab sesuai prosedur.",481
503,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,"Bagaimana rincian biaya operasional yang diberikan kepada Pokmas dalam program Bantuan Permakanan bagi Lansia, dan untuk apa dana tersebut dapat digunakan?","Pokmas mendapat biaya operasional Rp500.000 per bulan selama program berjalan. Dana digunakan untuk alat tulis kantor, penggandaan dokumen administrasi, transportasi pengambilan dana di pos penyalur, pulsa atau paket data untuk komunikasi dan pelaporan, biaya administrasi perbankan, dan biaya operasional lain terkait program.",482
504,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,RST,Bagaimana Program RST terintegrasi dengan bantuan lain seperti PENA dan ATENSI?,"Program RST terintegrasi dengan bantuan pena, atensi, dan bantuan sosial lain berdasarkan hasil asesmen unit kerja eselon i terkait. Direktorat RST bertanggung jawab membangun rehabilitasi RUS dan tempat usaha sesuai asesmen. Bantuan pena, atensi, dan lain diberikan simultan setelah pembangunan selesai. Pendampingan KPM dilakukan oleh unit kerja eselon i untuk memastikan bantuan dimanfaatkan optimal.",482
505,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Dalam kondisi apa penghapusan peserta PBI Jaminan Kesehatan dilakukan?,"Penghapusan peserta PBI jaminan kesehatan dilakukan berdasarkan kondisi sosial ekonomi dan tingkat kemiskinan. dinas sosial kabupaten kota menghapus peserta dan menggantinya dengan peserta baru sesuai kebutuhan wilayah melalui SIKSNG. Setelah verifikasi kabupaten kota, hasil disampaikan ke dinas sosial provinsi untuk pemeriksaan dan persetujuan. Setelah itu, data dikirim ke Kemensos untuk proses lebih lanjut.",482
506,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa tujuan utama Bantuan Permakanan bagi Lansia keluarga tunggal dan bagaimana program ini mendukung kesejahteraan mereka?,"Bantuan permakanan bagi lansia keluarga tunggal bertujuan memenuhi kebutuhan dasar, mencegah kelaparan dan kekurangan gizi, serta meningkatkan kesejahteraan sosial. Program ini diatur agar penyaluran bantuan berjalan tertib, akuntabel, efektif, efisien, dan tepat sasaran, dengan pengawasan dari berbagai pihak untuk memastikan bantuan diterima oleh yang layak.",483
507,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Dalam kondisi apa Bantuan ATENSI Anak Yatim Piatu dapat dihentikan?,"Bantuan atensi anak yatim piatu dihentikan jika penerima tidak memenuhi kriteria, seperti sudah berusia 18 tahun ke atas, meninggal dunia, pindah alamat tanpa diketahui, melakukan penyelewengan bantuan, terjadi kesalahan data inclusion error, orang tua menikah lagi kecuali anak tinggal terpisah, orang tua yang dianggap meninggal atau hilang ternyata masih ada dan mengasuh, atau wali atau penerima menolak bantuan.",483
508,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa peran dan kewenangan Kemensos dalam mengoordinasikan dan memastikan kelancaran pelaksanaan program Permakanan?,"Kemensos bertugas menyusun norma, standar, prosedur, dan kriteria program. Menetapkan KPM dan pokmas pelaksana. Menyediakan anggaran melalui akun 571111 untuk bantuan sosial dan 521233 untuk operasional. Membuat perjanjian kerja sama dengan pelaksana. Mencairkan dana permakanan ke pokmas. Melakukan supervisi, monitoring, evaluasi, dan pengawasan bersama apip atau aph.",484
509,2025,,BPNT,Apa syarat masuk program BPNT atau Sembako?,"KPM memiliki NIK yang telah dipadankan dengan Dukcapil. Segmentasi Program Sembako meliputi penyandang disabilitas tunggal, lansia tunggal, memiliki anggota lansia atau penyandang disabilitas, KPM tanpa lansia atau penyandang disabilitas yang kepala keluarga berusia 40 tahun ke atas sampai dengan usia di bawah 60 tahun, atau KPM tanpa lansia atau penyandang disabilitas dengan kepala keluarga berusia di bawah 40 tahun.",464
510,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa latar belakang pelaksanaan program bantuan permakanan bagi lansia?,"Jumlah lansia meningkat dengan banyak lansia terlantar dan miskin, terutama lansia keluarga tunggal yang kesulitan memenuhi kebutuhan dasar seperti gizi dan permakanan. Pemerintah melalui Kemensos memberikan bantuan permakanan untuk meningkatkan kesejahteraan dan memastikan akses makanan cukup dan bergizi. Petunjuk teknis dibuat agar pelaksanaan program tertib, akuntabel, efektif, efisien, dan tepat sasaran.",481
511,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa tujuan utama dari PKH?,"PKH bertujuan meningkatkan taraf hidup KPM dengan mempermudah akses layanan pendidikan, kesehatan, dan kesejahteraan sosial. Program ini juga mengurangi beban pengeluaran, meningkatkan pendapatan keluarga miskin dan rentan, menciptakan perubahan perilaku dan kemandirian dalam mengakses layanan, serta mengurangi kemiskinan dan kesenjangan sosial. Selain itu, PKH mengenalkan manfaat produk dan jasa keuangan formal agar keluarga lebih mandiri mengelola keuangan.",489
512,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Bagaimana hasil evaluasi digunakan sebagai dasar pemberian sanksi administratif terhadap Pokmas atau pelaksana bantuan yang melakukan penyimpangan?,Hasil evaluasi menjadi dasar penilaian dan pemberian sanksi administratif kepada pokmas atau pelaksana bantuan yang terbukti melakukan penyimpangan atau tidak menjalankan program sesuai ketentuan. Evaluasi berfungsi sebagai alat pemantauan dan cara kontrol kualitas serta transparansi pelaksanaan bantuan permakanan bagi lansia keluarga tunggal.,492
513,2023,Peraturan Menteri Sosial Republik Indonesia Nomor 4 Tahun 2023,BPNT,Bagaimana cara distribusi dan aktivasi KKS dalam Program Sembako serta langkah jika bank penyalur tidak melaporkan atau gagal menyalurkan KKS di wilayah tertentu?,"KPM program sembako yang menerima KKS wajib aktivasi dengan bantuan bank penyalur. Jika bank penyalur tidak melaporkan distribusi dan aktivasi, direktorat program sembako memberi surat peringatan tertulis. Jika KPM di wilayah tertentu tidak menerima KKS, direktorat dapat menghentikan kerja sama dengan bank penyalur di wilayah tersebut.",499
514,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa tanggung jawab pelaksana PKH di daerah dalam implementasi program PKH?,"Pelaksana PKH di daerah dilakukan oleh dinas sosial provinsi, kabupaten kota, dan kecamatan, yang bertugas untuk menyediakan informasi dan sosialisasi PKH, melakukan pengawasan dan membina pelaksanaan PKH, memastikan pelaksanaan PKH sesuai rencana, menyelesaikan masalah pelaksanaan, membangun jejaring kemitraan dengan berbagai pihak, serta melaporkan capaian pelaksanaan PKH di daerah kepada pelaksana pusat secara berkala.",499
515,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Bagaimana cara pengusulan dan pelaporan perubahan data fakir miskin?,Fakir miskin yang belum terdaftar dapat mendaftar ke lurah atau kepala desa. Kepala keluarga yang sudah terdaftar wajib melaporkan perubahan data anggota keluarga ke lurah atau kepala desa. Lurah atau kepala desa menyampaikan data ke bupati atau walikota melalui camat. Bupati atau walikota meneruskan data ke gubernur untuk disampaikan ke menteri. Bupati atau walikota dapat melakukan verifikasi dan validasi data jika diperlukan.,499
516,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa aspek yang dicakup dalam pendampingan usaha untuk keberlanjutan Program PENA?,"Pendampingan usaha program pena mencakup empat aspek proses bisnis internal, meliputi inovasi dan sertifikasi usaha agar produk memenuhi standar. Sumber daya manusia, fokus pada peningkatan kualitas dan produktivitas pekerja. Pemasaran, meliputi kepuasan pelanggan, nilai produk, dan strategi branding untuk daya saing. Keuangan, mencakup pencatatan laba, analisis pertumbuhan, nilai tambah produk, dan laporan keuangan.",501
517,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Kapan dan bagaimana verifikasi kelayakan data penerima bantuan sosial dilakukan setiap bulannya?,Verifikasi kelayakan dilakukan setiap bulan dan dibuka setiap hari. Data penerima yang akan diverifikasi ditayangkan di SIKSNG paling lambat akhir minggu ke 2 setiap bulan. Finalisasi dan pengunggahan dokumen pengesahan harus selesai satu hari sebelum akhir bulan. Dokumen ditandatangani oleh kepala daerah atau pejabat berwenang dan diunggah melalui SIKSNG oleh petugas kabupaten kota yang memiliki akses.,502
518,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 30/4/HK.01/2/2024,PERMAKANAN,Bagaimana cara pendistribusian makanan bagi KPM yang berada di wilayah sulit dijangkau?,"Pelaksana menyediakan makanan sesuai rekomendasi ahli gizi. Petugas mengirim makanan sesuai daftar di aplikasi SIKSMA. Setiap pengiriman didokumentasikan dengan foto dan tanda terima di aplikasi. Jika ada kendala teknis, dokumentasi diunggah manual lewat ketua pokmas. Foto pengiriman harus menjaga kerahasiaan penerima. Untuk wilayah sulit dijangkau, penyaluran bekerja sama dengan kelurahan, RW, atau RT setempat.",502
519,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,"Siapa pihak yang terlibat dalam pelaksanaan Bantuan ATENSI Anak Yatim Piatu, dan apa tugas serta tanggung jawab mereka?","Pelaksanaan bantuan atensi anak yatim piatu melibatkan direktorat rehabilitasi sosial anak, dinas sosial provinsi, dinas sosial kabupaten kota, unit pelaksana teknis di direktorat jenderal rehabilitasi sosial, bank penyalur, wali KPM, pendamping sosial, dan lembaga layanan anak yatim piatu. Masing masing bertugas memastikan program berjalan transparan, akuntabel, dan tepat sasaran.",503
520,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,DTKS,Apa tujuan dari pemantauan program bantuan sosial?,"Pemantauan bertujuan memastikan pelaksanaan program bantuan sosial sesuai rencana dan peraturan. Dilakukan langsung atau tidak langsung, mencakup penyaluran, implementasi, dan keberlanjutan manfaat. Dilaksanakan oleh Kemensos, apip, dinas sosial, pemerintah desa, pendamping sosial, dan masyarakat. Metode meliputi kunjungan lapangan, laporan administrasi, dan aplikasi sistem informasi. Hasil pemantauan dilaporkan untuk evaluasi dan perbaikan program.",503
521,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 30/4/HK.01/2/2024,PERMAKANAN,"Apa persyaratan petugas kirim dalam distribusi Bantuan Permakanan bagi ODHIV, dan bagaimana perannya dalam pelaksanaan program?","Persyaratan petugas kirim usia 18 sampai 55 tahun, memiliki sim aktif untuk pengendara kendaraan bermotor, mampu menggunakan smartphone untuk pelaporan harian lewat aplikasi SIKSMA, jujur dan bertanggung jawab, bukan pns atau pendamping sosial, bersedia mengantar makanan sesuai ketentuan. Peran petugas kirim adalah mengantarkan bantuan permakanan kepada ODHIV sesuai aturan program.",511
522,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,"Siapa yang bertanggung jawab dalam pemantauan dan evaluasi Bantuan Permakanan bagi Penyandang Disabilitas, dan bagaimana hasilnya digunakan?","Pemantauan dan evaluasi dilakukan oleh direktorat rehabilitasi sosial penyandang disabilitas, dinas sosial provinsi dan kabupaten kota, serta camat atau kepala distrik secara berkala. Apip, biro keuangan Kemensos, atau aparat penegak hukum dapat dilibatkan untuk akuntabilitas. Hasil evaluasi digunakan untuk memperbaiki pelaksanaan program agar lebih efektif dan efisien.",512
523,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,RST,Apa tugas dinas sosial Daerah dalam pelaksanaan Program RST?,"dinas sosial daerah bertugas mengkoordinasikan perencanaan dan penyediaan anggaran daerah untuk program. Memfasilitasi lintas pemangku kepentingan dan sosialisasi program. Menangani pengaduan dan menyelesaikan masalah pelaksanaan program untuk dinas sosial kabupaten kota. Memantau dan mengevaluasi pelaksanaan program. Khusus untuk dinas sosial daerah provinsi mensosialisasikan program kepada pemerintah daerah, camat, lurah atau kepala desa, dan KPM.",513
